
2024/07/30 (19:39:20) | ===> btop++ v.1.3.2
2024/07/30 (19:39:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/30 (19:39:34) | ===> btop++ v.1.3.2
2024/07/30 (19:39:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/30 (19:45:08) | ===> btop++ v.1.3.2
2024/07/30 (19:45:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/30 (22:17:29) | ===> btop++ v.1.3.2
2024/08/30 (22:17:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/30 (22:43:23) | ===> btop++ v.1.3.2
2024/08/30 (22:43:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/30 (22:55:56) | ===> btop++ v.1.3.2
2024/08/30 (22:55:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/30 (22:56:04) | ===> btop++ v.1.3.2
2024/08/30 (22:56:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/30 (22:59:29) | ===> btop++ v.1.3.2
2024/08/30 (22:59:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (11:24:44) | ===> btop++ v.1.3.2
2024/08/31 (11:24:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (12:12:44) | ===> btop++ v.1.3.2
2024/08/31 (12:12:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (13:58:45) | ===> btop++ v.1.3.2
2024/08/31 (13:58:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (14:43:37) | ===> btop++ v.1.3.2
2024/08/31 (14:43:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (15:35:51) | ===> btop++ v.1.3.2
2024/08/31 (15:35:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (16:07:29) | ===> btop++ v.1.3.2
2024/08/31 (16:07:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (18:25:57) | ===> btop++ v.1.3.2
2024/08/31 (18:25:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (19:29:17) | ===> btop++ v.1.3.2
2024/08/31 (19:29:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (19:29:27) | ===> btop++ v.1.3.2
2024/08/31 (19:29:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (19:29:35) | ===> btop++ v.1.3.2
2024/08/31 (19:29:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (20:25:20) | ===> btop++ v.1.3.2
2024/08/31 (20:25:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (20:43:26) | ===> btop++ v.1.3.2
2024/08/31 (20:43:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (21:22:05) | ===> btop++ v.1.3.2
2024/08/31 (21:22:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/31 (21:56:31) | ===> btop++ v.1.3.2
2024/08/31 (21:56:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/01 (18:01:04) | ===> btop++ v.1.3.2
2024/09/01 (18:01:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/01 (18:01:11) | ===> btop++ v.1.3.2
2024/09/01 (18:01:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/01 (20:03:57) | ===> btop++ v.1.3.2
2024/09/01 (20:03:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/19 (10:24:42) | ===> btop++ v.1.3.2
2024/10/19 (10:24:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (10:24:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (10:29:02) | ===> btop++ v.1.3.2
2024/10/19 (10:29:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (10:29:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/03 (18:20:52) | ===> btop++ v.1.3.2
2024/11/03 (18:20:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/03 (18:20:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/04 (19:50:16) | ===> btop++ v.1.3.2
2024/11/04 (19:50:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/04 (19:50:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/14 (15:56:59) | ===> btop++ v.1.3.2
2024/11/14 (15:56:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
